Movie Title,Years,Score,Cast
Ong-Bak (Ong Bak: Muay Thai Warrior),85%,85%,"Tony Jaa, Petchtai Wongkamlao, Petchthai Wongkamlao, Pumwaree Yodkamol"
Collateral,86%,86%,"Tom Cruise, Jamie Foxx, Mark Ruffalo, Jada Pinkett Smith"
Iron Monkey,91%,91%,"Rongguang Yu, Donnie Yen, Jean Wang, Tsang Sze-Man"
Escape from New York,86%,86%,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence"
Battle Royale,87%,87%,"Aki Maeda, Ai Iwamura, Chiaki Kuriyama, Tatsuya Fujiwara"
Spider-Man 2,93%,93%,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina"
13 Assassins,95%,95%,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki"
Full Contact,88%,88%,"Yun-Fat Chow, Simon Yam, Ann Bridgewater, Anthony Wong"
Indiana Jones and the Last Crusade,88%,88%,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott"
Kung Fu Hustle,90%,90%,"Stephen Chow, Wah Yuen, Shengyi Huang, Kwok-Kwan Chan"
A Better Tomorrow,93%,93%,"Yun-Fat Chow, Leslie Cheung, Lung Ti, Young Pao I"
Iron Man,94%,94%,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow"
The Night Comes For Us,90%,90%,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"
Logan,93%,93%,"Hugh Jackman, Patrick Stewart, Boyd Holbrook, Stephen Merchant"
Goldfinger,98%,98%,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
Assault on Precinct 13,98%,98%,"Austin Stoker, Darwin Joston, Gilbert De la Pena, Laurie Zimmer"
Wonder Woman,93%,93%,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright"
Fist of Fury (Jing wu men),92%,92%,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker"
Captain America: The Winter Soldier,90%,90%,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie"
Oldboy,82%,82%,"Choi Min-sik, Gang Hye-jeong, Yoo Ji-tae, Gang Hye-jung"
The French Connection,98%,98%,"Gene Hackman, Fernando Rey, Roy Scheider, Marcel Bozzuffi"
Furious 7,81%,81%,"Vin Diesel, Paul Walker, Jason Statham, Dwayne Johnson"
La Femme Nikita (Nikita),88%,88%,"Tcheky Karyo, Anne Parillaud, Jeanne Moreau, Jean Reno"
Supercop,96%,96%,"Jackie Chan, Maggie Cheung, Kenneth Tsang Kong, Wah Yuen"
Dirty Harry,89%,89%,"Clint Eastwood, Andrew Robinson, Harry Guardino, John Mitchum"
Live Die Repeat: Edge of Tomorrow,90%,90%,"Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstrong"
X2: X-Men United,85%,85%,"Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen"
The Fugitive,96%,96%,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
Black Panther,97%,97%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
Inception,87%,87%,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard"
Braveheart,77%,77%,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack"
Minority Report,90%,90%,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"
Avengers: Endgame,94%,94%,"Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans"
Dredd,79%,79%,"Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey"
The Bourne Identity,83%,83%,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen"
Ip Man,85%,85%,"Donnie Yen, Hiroyuki Ikeuchi, Simon Yam, Xiong Dailin"
Face/Off,92%,92%,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
To Live and Die in L.A.,91%,91%,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer"
The Dark Knight,94%,94%,"Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal"
Mission: Impossible Ghost Protocol,93%,93%,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
Fast Five,77%,77%,"Vin Diesel, Paul Walker, Jordana Brewster, Dwayne Johnson"
Lethal Weapon,82%,82%,"Mel Gibson, Danny Glover, Gary Busey, Darlene Love"
The Rock,66%,66%,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn"
RoboCop,89%,89%,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith"
John Wick: Chapter 2,89%,89%,"Keanu Reeves, John Leguizamo, Bridget Moynahan, Thomas Sadoski"
Casino Royale,95%,95%,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
Baby Driver,93%,93%,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal"
Fist of Legend (Jing wu ying xiong),100%,100%,"Jet Li, Paul Chiang, Yasuaki Kurata, Shinobu Nakayama (II)"
The Killer,98%,98%,"Yun-Fat Chow, Sally Yeh, Danny Lee, Kenneth Tsang"
The Raid 2,80%,80%,"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara"
Enter the Dragon,94%,94%,"Bruce Lee, John Saxon, Jim Kelly, Shih Kien"
Commando,71%,71%,"Arnold Schwarzenegger, Alyssa Milano, Rae Dawn Chong, Dan Hedaya"
First Blood,87%,87%,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
Mission: Impossible Rogue Nation,93%,93%,"Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pegg"
The Terminator,100%,100%,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Gladiator,76%,76%,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Kill Bill: Volume 1,85%,85%,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine"
Léon: The Professional,73%,73%,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Speed,94%,94%,
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),83%,83%,"Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam"
John Wick,86%,86%,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki"
"Crouching Tiger, Hidden Dragon",97%,97%,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang"
Predator,81%,81%,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke"
The Bourne Ultimatum,92%,92%,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn"
Total Recall,82%,82%,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Mad Max 2: The Road Warrior,95%,95%,"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty"
Heat,86%,86%,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Raid: Redemption,86%,86%,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian"
Mission: Impossible - Fallout,97%,97%,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Raiders of the Lost Ark,95%,95%,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
Aliens,97%,97%,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Lat sau san taam (Hard-Boiled),94%,94%,"Yun-Fat Chow, Tony Leung Chiu Wai, Anthony Wong, Teresa Mo"
The Matrix,87%,87%,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano"
Terminator 2: Judgment Day,93%,93%,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Die Hard,93%,93%,"Bruce Willis, Alan Rickman, Reginald VelJohnson, Bonnie Bedelia"
Mad Max: Fury Road,97%,97%,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley"
